  100.00   120.00    57.60    64.80     0.00
  100.00   120.00    64.80    72.00     0.00
  100.00   120.00    72.00    79.20     0.00
  100.00   120.00    79.20    86.40     0.00
  100.00   120.00    86.40    93.60     0.00
  100.00   120.00    93.60   100.80     0.00
  100.00   120.00   100.80   108.00     0.00
  100.00   120.00   108.00   115.20     0.00
  100.00   120.00   115.20   122.40     0.00
  100.00   120.00   122.40   129.60     0.00
  100.00   120.00   129.60   136.80     0.00
  100.00   120.00   136.80   144.00     0.00
  100.00   120.00   144.00   151.20     0.00
  100.00   120.00   151.20   158.40     0.00
  100.00   120.00   158.40   165.60     0.00
  100.00   120.00   165.60   172.80     0.00
  100.00   120.00   172.80   180.00     0.00
  120.00   140.00     0.00     7.20     0.00
  120.00   140.00     7.20    14.40     0.00
  120.00   140.00    14.40    21.60     0.00
  120.00   140.00    21.60    28.80     0.00
  120.00   140.00    28.80    36.00     0.00
  120.00   140.00    36.00    43.20     0.00
  120.00   140.00    43.20    50.40     0.00
  120.00   140.00    50.40    57.60     0.00
  120.00   140.00    57.60    64.80     0.00
  120.00   140.00    64.80    72.00     0.00
  120.00   140.00    72.00    79.20     0.00
  120.00   140.00    79.20    86.40     0.00
  120.00   140.00    86.40    93.60     0.00
  120.00   140.00    93.60   100.80     0.00
  120.00   140.00   100.80   108.00     0.00
  120.00   140.00   108.00   115.20     0.00
  120.00   140.00   115.20   122.40     0.00
  120.00   140.00   122.40   129.60     0.00
  120.00   140.00   129.60   136.80     0.00
  120.00   140.00   136.80   144.00     0.00
  120.00   140.00   144.00   151.20     0.00
  120.00   140.00   151.20   158.40     0.00
  120.00   140.00   158.40   165.60     0.00
  120.00   140.00   165.60   172.80     0.00
  120.00   140.00   172.80   180.00     0.00
  140.00   160.00     0.00     7.20     0.00
  140.00   160.00     7.20    14.40     0.00
  140.00   160.00    14.40    21.60     0.00
  140.00   160.00    21.60    28.80     0.00
  140.00   160.00    28.80    36.00     0.00
  140.00   160.00    36.00    43.20     0.00
  140.00   160.00    43.20    50.40     0.00
  140.00   160.00    50.40    57.60     0.00
  140.00   160.00    57.60    64.80     0.00
  140.00   160.00    64.80    72.00     0.00
  140.00   160.00    72.00    79.20     0.00
  140.00   160.00    79.20    86.40     0.00
  140.00   160.00    86.40    93.60     0.00
  140.00   160.00    93.60   100.80     0.00
  140.00   160.00   100.80   108.00     0.00
  140.00   160.00   108.00   115.20     0.00
  140.00   160.00   115.20   122.40     0.00
  140.00   160.00   122.40   129.60     0.00
  140.00   160.00   129.60   136.80     0.00
  140.00   160.00   136.80   144.00     0.00
  140.00   160.00   144.00   151.20     0.00
  140.00   160.00   151.20   158.40     0.00
